,0,1
0,8306,9289
1,3962,9977
2,8412,5647
3,247,4765
4,95,1184
5,5142,6284
6,8937,3930
7,854,2271
8,583,5263
9,6616,4873
10,7900,952
11,1390,5721
12,4393,4018
13,5685,7994
14,5647,8482
15,8628,4
16,2014,6384
17,5123,7310
18,9908,7274
19,1670,4341
20,7119,7435
21,7890,7543
22,3659,4879
23,7720,5154
24,304,1349
25,8698,98
26,4593,2569
27,9660,9154
28,4287,9026
29,8924,2799
30,8275,7336
31,7442,5371
32,5042,4690
33,4506,3108
34,7576,2895
35,8854,1603
36,7383,9352
37,8937,4465
38,6771,4761
39,1969,5479
40,5218,3585
41,1962,617
42,5859,6631
43,7985,1146
44,5922,2901
45,8421,4658
46,7018,6154
47,6798,6103
48,3483,8147
49,9304,2788
50,3275,6778
51,5759,6030
52,7542,6580
53,2639,471
54,8531,9461
55,7261,6304
56,1111,641
57,6215,6500
58,590,8101
59,3769,3312
60,672,4674
61,8190,5473
62,2322,2144
63,1401,5018
64,8785,7805
65,1719,245
66,7156,19
67,349,3748
68,5110,9667
69,4016,6449
70,5227,6256
71,6669,4529
72,5095,1400
73,2004,3808
74,9948,7832
75,5538,4515
76,8621,4758
77,2800,7460
78,3924,6646
79,2258,1201
80,6281,1873
81,4467,3663
82,2861,1605
83,5297,9564
84,1489,553
85,7618,3162
86,3847,3576
87,1823,836
88,4514,3891
89,7578,610
90,9327,420
91,6549,6613
92,3245,9904
93,8402,1709
94,6693,309
95,902,9971
96,9256,1860
97,2212,3687
98,737,5720
99,8623,3075
100,9330,4323
101,3108,8443
102,2196,6193
103,1411,1291
104,1402,1667
105,6535,9938
106,5659,8801
107,8917,7282
108,2847,2831
109,4314,5223
110,1382,5706
111,1411,8793
112,1535,2391
113,1083,8392
114,3149,2358
115,4287,6509
116,8363,4017
117,5023,6296
118,1283,1899
119,5254,6264
120,6527,4738
121,3763,7465
122,316,2199
123,6304,5987
124,5131,5923
125,3737,526
126,5519,339
127,8076,7942
128,7169,2371
129,301,3837
130,9622,518
131,8936,7969
132,4775,9199
133,3203,2119
134,6394,2423
135,8646,158
136,3534,9026
137,7193,2434
138,2248,9791
139,6839,6857
140,4344,5552
141,5718,7872
142,4683,8792
143,1514,8766
144,8520,1027
145,9636,5069
146,175,3986
147,4309,5689
148,1116,7915
149,5552,3821
150,8480,4352
151,5035,9536
152,2287,1061
153,1816,2442
154,1312,5376
155,163,9999
156,2537,449
157,7185,9784
158,6832,2792
159,6045,2093
160,2283,8414
161,3048,1359
162,2800,2258
163,5637,4987
164,7216,8109
165,2600,5422
166,2820,1195
167,2263,2049
168,5540,9164
169,4051,8269
170,5407,5985
171,1260,9798
172,4717,6290
173,869,7225
174,4739,9065
175,9140,9438
176,5004,4785
177,8041,994
178,5278,2415
179,3354,5922
180,9019,5477
181,1243,8419
182,2957,1558
183,5101,5106
184,8955,3380
185,5827,3112
186,2614,7351
187,5276,2025
188,7131,4087
189,6967,7022
190,7548,4510
191,1719,2948
192,529,8948
193,9498,4870
194,4906,1508
195,1429,8217
196,581,3010
197,9775,1466
198,3579,230
199,1792,8896
200,7906,8385
201,6500,6179
202,8802,7298
203,88,1147
204,2413,2608
205,1286,873
206,5745,1818
207,6826,8528
208,3150,6591
209,428,6127
210,4906,9149
211,9403,457
212,8579,1666
213,1797,8089
214,5991,5209
215,6043,1502
216,8976,3423
217,7304,3059
218,6803,8926
219,2428,3291
220,8883,3037
221,2456,5585
222,2306,4112
223,3919,2467
224,3310,9367
225,1539,5350
226,3499,6447
227,8775,3549
228,442,4953
229,292,9807
230,3981,8830
231,4637,8399
232,367,407
233,8051,3295
234,3096,3104
235,2738,2695
236,80,495
237,2501,5056
238,7153,8439
239,9351,5956
240,5797,6324
241,2282,7227
242,4332,6193
243,272,6659
244,1484,9308
245,9308,2315
246,7849,1148
247,1014,4805
248,8216,489
249,6078,1782
250,226,263
251,5497,9737
252,1488,8665
253,9225,8140
254,5762,5206
255,2582,9667
256,4724,8343
257,1574,2132
258,5512,700
259,9929,9253
260,7436,9990
261,9717,986
262,9775,3501
263,6911,6858
264,1818,9086
265,4959,8221
266,4738,4129
267,4325,2013
268,4605,308
269,4054,8330
270,3107,6758
271,1645,2112
272,9025,1343
273,2438,2403
274,1177,2515
275,3666,1607
276,4469,1570
277,9462,9559
278,9693,6238
279,9521,4972
280,9505,9017
281,752,7287
282,6871,8324
283,5199,2613
284,6050,4196
285,4132,685
286,4340,396
287,541,7723
288,9061,4242
289,7862,1889
290,7458,5382
291,2453,5291
292,9002,7674
293,5177,1979
294,9611,2871
295,7381,2419
296,9832,3847
297,13,8969
298,8900,1994
299,6744,3148
300,2697,4623
301,7550,1316
302,8193,4134
303,8215,1008
304,674,641
305,3728,9040
306,9857,3790
307,1641,667
308,5382,9662
309,5152,34
310,259,187
311,1750,9113
312,603,4613
313,4541,8118
314,4439,1088
315,2723,5807
316,4061,6268
317,5089,1720
318,8439,700
319,7394,8001
320,967,7538
321,9643,4128
322,2004,1250
323,6404,3388
324,9843,7433
325,7619,4669
326,5788,6324
327,5064,821
328,7384,1069
329,3514,3054
330,2837,4168
331,4392,1973
332,3537,9540
333,2362,8869
334,4070,6816
335,3058,1852
336,2795,7540
337,7212,4100
338,9888,5191
339,6523,4734
340,7396,1525
341,1594,8945
342,7825,5962
343,4486,7606
344,9685,1014
345,8538,991
346,8320,8689
347,7550,7754
348,4163,6246
349,549,8942
350,8749,9795
351,7829,1959
352,4109,2892
353,6423,5413
354,5325,7379
355,2829,2422
356,8583,8760
357,3201,9495
358,2889,3775
359,6463,1771
360,8432,727
361,978,5236
362,5567,3160
363,796,8005
364,1297,8332
365,7401,9713
366,1849,4534
367,8886,7643
368,449,609
369,6769,1096
370,7313,3527
371,2245,1343
372,989,6192
373,8836,1598
374,6445,6968
375,8021,5334
376,9555,7617
377,5648,1628
378,361,9929
379,3642,6255
380,4693,1169
381,5455,2348
382,9903,7930
383,2547,6323
384,6520,3156
385,8650,2356
386,3085,1004
387,9739,3430
388,8559,7146
389,900,9582
390,5219,4796
391,3677,8550
392,9197,156
393,9382,2175
394,3191,260
395,7191,4392
396,4998,6480
397,1023,6727
398,603,8632
399,3973,1622
400,7716,3973
401,5685,8831
402,5024,7004
403,7366,7818
404,4277,4565
405,6632,9235
406,1961,6572
407,7601,1917
408,9042,8128
409,2315,2426
410,5964,7782
411,8995,8321
412,5167,6480
413,9897,4783
414,9621,3093
415,7512,6085
416,6310,9150
417,1338,9974
418,5168,8066
419,4514,8730
420,3109,775
421,8935,8212
422,8797,9748
423,1015,3563
424,2947,4988
425,4089,8953
426,3359,603
427,1903,1746
428,8324,1936
429,7053,962
430,7053,1393
431,7651,9007
432,8946,4841
433,2364,880
434,3800,1446
435,4079,4077
436,3803,438
437,9601,6937
438,2869,7703
439,9580,7648
440,9385,4291
441,6456,2606
442,901,4101
443,1714,3639
444,5316,6434
445,5454,8033
446,9882,3853
447,4891,6923
448,3974,19
449,6192,4387
450,6525,9122
451,4750,4754
452,7992,1016
453,5146,8092
454,7376,9174
455,9106,7156
456,4089,2858
457,631,3836
458,507,6580
459,2251,7617
460,4409,4961
461,8135,7025
462,5360,4499
463,8206,7383
464,2188,3855
465,350,4685
466,1779,8964
467,4195,6800
468,9665,9631
469,8232,7621
470,7650,6349
471,2293,9739
472,3290,6329
473,7646,1700
474,538,1769
475,8365,9521
476,7669,2786
477,8882,4931
478,8597,8382
479,964,179
480,1708,1905
481,382,6521
482,3523,7077
483,3141,2591
484,963,4095
485,4013,5361
486,4709,255
487,3103,1344
488,9658,4101
489,8730,2601
490,4904,5984
491,3818,8564
492,8144,873
493,1176,748
494,679,8456
495,63,8034
496,1557,8825
497,6019,3669
498,2107,7252
499,5725,1297
500,1707,5062
501,4334,5339
502,7646,5340
503,8196,6104
504,743,6589
505,4416,3672
506,2295,3048
507,9621,1346
508,4312,5646
509,1485,9248
510,4482,3145
511,7472,5813
512,8073,5151
513,2761,295
514,6981,1150
515,6979,4020
516,3356,3846
517,6137,3457
518,306,9348
519,1442,7611
520,314,6653
521,2255,4710
522,8729,6332
523,7948,7585
524,3088,920
525,3057,1473
526,365,7886
527,9250,1172
528,7265,6425
529,7850,5172
530,3447,3932
531,5635,3037
532,6290,8677
533,612,163
534,7945,7876
535,9785,1468
536,1353,9761
537,4101,4840
538,4618,5941
539,3904,6616
540,5393,2302
541,4566,3510
542,7556,6653
543,3849,1457
544,90,4419
